team_control_num,title,year,problem_type,link
55069,The Rehabilitation of the Kariba Dam,2017,A,https://drive.google.com/file/d/1CswlTQK-WiHY7BLlAj45RiZTRrQRObU8/view?usp=sharing
55280,iMoDs: A Treatment to the Kariba Dam,2017,A,https://drive.google.com/file/d/17WwyRIJFfpWDuw1XMjZlqdy_GDMgbOsp/view?usp=sharing
65448,A Multi-Dam System for Zambezi River,2017,A,https://drive.google.com/file/d/1OENNE4I4HF2troq7ko3TBe4LyPU5ooww/view?usp=sharing
66500,Joint Force in Managing Zambezi River,2017,A,https://drive.google.com/file/d/1R7I8Ygqcp7gfHXC7OaAWvAwKEzUkkLez/view?usp=sharing
56731,A New Type of Toll Plaza Based on Bionics-Honeycomb,2017,B,https://drive.google.com/file/d/1mFnk3xVyY1idPevbqk8dyUgHN9P8TDgG/view?usp=sharing
68303,Merge Better After Toll,2017,B,https://drive.google.com/file/d/1UkmtyiO4bRRH98GOwECiLM76WThwcSSF/view?usp=sharing
69427,Optimal Design of Toll Plaza Based on Minimum Risk Maximum Flow,2017,B,https://drive.google.com/file/d/1poLhwEQLbcCJorBaPOaaCJHHYGVMe2Qq/view?usp=sharing
70174,An Agent-Based Model for Developing and Evaluating Efficient Toll Plaza Designs,2017,B,https://drive.google.com/file/d/1KF32R0jtgUZ21nL8IOggX9Rn9YgEov_s/view?usp=sharing
70545,Control Time Model: Wait One Second and Start Your Journey,2017,B,https://drive.google.com/file/d/1N5pHE37IB-whGVcqEgmnHsWcMNuEgn0p/view?usp=sharing
55261,Driving Towards the Future: Modeling the Impact of Driverless Vehicles on Traffic Patterns,2017,C,https://drive.google.com/file/d/1WBPqMk96jMkUj___1HAeeWtPa-flW7mh/view?usp=sharing
55278,The Effects of Self-Driving Cooperating Vehicles on Traffic Capacity of Highways,2017,C,https://drive.google.com/file/d/1uSlh-nFuTKcucLaN-hMQiLG8_OLYQzjC/view?usp=sharing
55583,Self-driving vehicle's prospect in traffic network,2017,C,https://drive.google.com/file/d/1qItxvZJTaRjKkF94TZgr9NHzPMPMUgL5/view?usp=sharing
55585,Highway Traffic Flow Model with Self-Driving Vehicles Based on Cellular Automata,2017,C,https://drive.google.com/file/d/1Jj7daOOcwo7ZRdThxN4J15tKINSFgI1x/view?usp=sharing
55285,Analysis and Optimization to the Process of Airport Security Check,2017,D,https://drive.google.com/file/d/1bdlsuIoISbqURCDn0dmFs0tX_Mhd57Kc/view?usp=drive_link
55295,Breezing Through Security Checkpoints: an Intelligent Airport with Smart Scheduling,2017,D,https://drive.google.com/file/d/1dpTKPZAJeuz5VH5kDYFnA7td2pVJXeQp/view?usp=sharing
56632,Reducing Wait Times at Airport Security,2017,D,https://drive.google.com/file/d/1uD9CnrmoKr0njYGn4Y478rv5oyyxj6xd/view?usp=drive_link
67316,Time Counts! Less Waiting & Better Airports,2017,D,https://drive.google.com/file/d/1eah6YCdxp5BK7WTVMawUd8iFOJsN3bN1/view?usp=sharing
68942,Optimizing Passenger Throughput at an Airport Security Checkpoint,2017,D,https://drive.google.com/file/d/1pv6ISYJ3J3buLz_xjzMEig4xwPl2NvWR/view?usp=sharing
61502,A Tale of Two Smart Cities: Development of a Smart Growth Index,2017,E,https://drive.google.com/file/d/1cB0dDpLpDPWx13VJDxS4YndZN0IcD62g/view?usp=drive_link
65123,Smart Growth Theories in City Design,2017,E,https://drive.google.com/file/d/1EgIzCfj7APSCqfwiOg3TgOQwNashbeTj/view?usp=drive_link
67171,,2017,E,https://drive.google.com/file/d/1AAcO7V-rB7eWdKnrF9I7GUfW28Q7v276/view?usp=drive_link
68242,Towards A Sustainable City,2017,E,https://drive.google.com/file/d/1fM5AIkVRdFwusIVaohIaIv1YhUiE1Qm2/view?usp=drive_link
71672,"Sustainable Cities Needed!: Applying Smart Growth Principles in Boulder, CO, USA and Canberra, ACT, AUS",2017,E,https://drive.google.com/file/d/1ZQI2HM4bQcs62MjA3cP4mu2aGG-O4PMG/view?usp=drive_link
64486,"Society Planning: Model, Simulation And Visualization",2017,F,https://drive.google.com/file/d/1SGrZHQckjGzuBmX5TDABxa99V1_2W7Ni/view?usp=drive_link
68940,,2017,F,https://drive.google.com/file/d/1SZPbolLexTGgJijwefcRx635-NNMxs2g/view?usp=drive_link
72197,,2017,F,https://drive.google.com/file/d/1RwXk2WxUrcCXt0fTZ7E6j7my8etlMcOO/view?usp=drive_link
72283,A Brave New World: A Quantitative Model of A Self-Sufficient Martian Society,2017,F,https://drive.google.com/file/d/1cgzK4_uyue8PXRy5qQkRFIp9cJKwU8wm/view?usp=drive_link
76082,HF Radio Propagation under Different Terrains,2018,A,https://drive.google.com/file/d/1ALAgzfYOYrVhEsKQt2BFYPBLH-jxLJJF/view?usp=sharing
76271,Wave Goodbye to Poor Reception,2018,A,https://drive.google.com/file/d/1bIo-2tNkY0yMS39w2n0WnWm8A2ml5Rj_/view?usp=sharing
77845,MHPM and MSRSM: Simulation and Modeling of Multi-hop HF Radio Propagation,2018,A,https://drive.google.com/file/d/11LSHLpu0Ft_bg0hMIVdYfCdw9D3yHjCz/view?usp=sharing
86103,Simulation Analysis of Multi-hop HF Radio,2018,A,https://drive.google.com/file/d/13D1p4C8d-IFZ0RPkvHA9LFyXPvSEJFN7/view?usp=sharing
88255,,2018,A,https://drive.google.com/file/d/1lmP_b25wEYLVit6GETLRv4pYb9AyPFp8/view?usp=sharing
73410,Language Population Projection and Location Optimizaion Model Based on Inhomogeneous Transition Matrix and Simulated Annealing Algorithm,2018,B,https://drive.google.com/file/d/1YTlOtVEAE44X5S_OWZjUWS9JLMiRlTTV/view?usp=sharing
74316,,2018,B,https://drive.google.com/file/d/1n1Eo7I7PxM14vV6OFeds0S81S0wL2UaM/view?usp=sharing
77238,,2018,B,https://drive.google.com/file/d/19K9cq3UuigNoMOIG0LHfijqcSeXZk6rT/view?usp=sharing
79002,How many languages?,2018,B,https://drive.google.com/file/d/1Rd4CrVkQMJAgd-u6RoMtOIurjio8cjkL/view?usp=sharing
91566,Forecasting the Language Distribution,2018,B,https://drive.google.com/file/d/1jXf38afiyXavmX8vzA3djcOya5ezWvtg/view?usp=sharing
72969,"CAFE: Characterization, Analysis, Forecasting, and Evaluation of Energy Profile",2018,C,https://drive.google.com/file/d/10wJuU15pIH47S03H7lktcAprijuCCJAQ/view?usp=sharing
73767,A Setting System of Interstate Energy Cooperation Goals Based on Data Insight,2018,C,https://drive.google.com/file/d/1cTESCe5mw0lkEpHE5wqnBVr-fq04efog/view?usp=sharing
78577,Sustainable Energy Assessment,2018,C,https://drive.google.com/file/d/1BFmrJxnBHsWL3E3N3-9Oza4qj2kdZLe6/view?usp=sharing
80560,A New Keynesian Approach to Optimizing Energy Compact,2018,C,https://drive.google.com/file/d/1qCzPeNWtbxRpk2zvquH8gV1B9ddMvipZ/view?usp=sharing
82150,,2018,C,https://drive.google.com/file/d/1Qldasxu7QCA5hWu9By17NTo58DDCIlLW/view?usp=sharing
73156,Construct all-electric network,2018,D,https://drive.google.com/file/d/1nsyMwey3moWDNB6LDxYEVs_05zq09-OV/view?usp=sharing
